2.289789789789789864e+00 7.864317818397021168e-03 8.593102153619014663e-07	2.289789789789789864e+00 1.051704655549513204e-03 3.081728554033762730e-07
2.294794794794794868e+00 7.451524429659557233e-03 7.792139543922782133e-07	2.294794794794794868e+00 1.025480622354725318e-03 2.918407338535746457e-07
2.299799799799799871e+00 7.072233506333002254e-03 7.080812099928491032e-07	2.299799799799799871e+00 1.000340232464175033e-03 2.765789375902046309e-07
2.304804804804804874e+00 6.722867297546910280e-03 6.447380824617118550e-07	2.304804804804804874e+00 9.762216118711032533e-04 2.623034223676924878e-07
2.309809809809809877e+00 6.400315200327449244e-03 5.881868013085970958e-07	2.309809809809809877e+00 9.530673605290113093e-04 2.489378480592655519e-07
2.314814814814814881e+00 6.101862316049718078e-03 5.375759778998633897e-07	2.314814814814814881e+00 9.308241630606033405e-04 2.364127714143653718e-07
2.319819819819819884e+00 5.825130445069976945e-03 4.921764321436110264e-07	2.319819819819819884e+00 9.094424388814195941e-04 2.246649338645513113e-07
2.324824824824824887e+00 5.568029104179582009e-03 4.513614483627221113e-07	2.324824824824824887e+00 8.888760272040643375e-04 2.136366319750694225e-07
2.329829829829829890e+00 5.328714666729782515e-03 4.145905706527753228e-07	2.329829829829829890e+00 8.690819029710886981e-04 2.032751599125473655e-07
2.334834834834834894e+00 5.105556121202090708e-03 3.813962419922980225e-07	2.334834834834834894e+00 8.500199202644579885e-04 1.935323147973788068e-07
2.339839839839839897e+00 4.897106250332476998e-03 3.513727398329091877e-07	2.339839839839839897e+00 8.316525801698285191e-04 1.843639570783085386e-07
2.344844844844844900e+00 4.702077271445988770e-03 3.241669752551447555e-07	2.344844844844844900e+00 8.139448204450149167e-04 1.757296191441871035e-07
2.349849849849849903e+00 4.519320165563958658e-03 2.994708114041366754e-07	2.349849849849849903e+00 7.968638246630004073e-04 1.675921563050305862e-07
2.354854854854854906e+00 4.347807070146403850e-03 2.770146260066334484e-07	2.354854854854854906e+00 7.803788487779820095e-04 1.599174350570472239e-07
2.359859859859859910e+00 4.186616227067499994e-03 2.565618969241869133e-07	2.359859859859859910e+00 7.644610633044903640e-04 1.526740542154850943e-07
2.364864864864864913e+00 4.034919070426488952e-03 2.379046323694833158e-07	2.364864864864864913e+00 7.490834095097749371e-04 1.458330950726825805e-07
2.369869869869869916e+00 3.891969113272420421e-03 2.208595012079602438e-07	2.369869869869869916e+00 7.342204682029820819e-04 1.393678972313448724e-07
2.374874874874874919e+00 3.757092352248175143e-03 2.052645456608918679e-07	2.374874874874874919e+00 7.198483398647230989e-04 1.332538571870672205e-07
2.379879879879879923e+00 3.629678957605427143e-03 1.909763802274645613e-07	2.379879879879879923e+00 7.059445350008184024e-04 1.274682470998323450e-07
2.384884884884884926e+00 3.509176055380624701e-03 1.778677979094040791e-07	2.384884884884884926e+00 6.924878737269081919e-04 1.219900515102449932e-07
2.389889889889889929e+00 3.395081440602085512e-03 1.658257187457196820e-07	2.389889889889889929e+00 6.794583936985916029e-04 1.167998200299038588e-07
2.394894894894894932e+00 3.286938086666292298e-03 1.547494269397890256e-07	2.394894894894894932e+00 6.668372655967879292e-04 1.118795342726923414e-07
2.399899899899899935e+00 3.184329337615090898e-03 1.445490520261756040e-07	2.399899899899899935e+00 6.546067154617744204e-04 1.072124875000678179e-07
2.404904904904904939e+00 3.086874687864241996e-03 1.351442570030869999e-07	2.404904904904904939e+00 6.427499532433317850e-04 1.027831756330393648e-07
2.409909909909909942e+00 2.994226068690365034e-03 1.264631024806532779e-07	2.409909909909909942e+00 6.312511069998294521e-04 9.857719844015990354e-08
2.414914914914914945e+00 2.906064573047777502e-03 1.184410609281047082e-07	2.414914914914914945e+00 6.200951622370500524e-04 9.458116984771135046e-08
2.419919919919919948e+00 2.822097560513661500e-03 1.110201592527602086e-07	2.419919919919919948e+00 6.092679059289406217e-04 9.078263643799381796e-08
2.424924924924924952e+00 2.742056092716080133e-03 1.041482313766045777e-07	2.424924924924924952e+00 5.987558748081650041e-04 8.717000330658885929e-08
2.429929929929929955e+00 2.665692656780032591e-03 9.777826532488421068e-08	2.429929929929929955e+00 5.885463075549767246e-04 8.373246654159181556e-08
2.434934934934934958e+00 2.592779140371241024e-03 9.186783171214172771e-08	2.434934934934934958e+00 5.786271005491305059e-04 8.045995166880187734e-08
2.439939939939939961e+00 2.523105027020677675e-03 8.637858249033437769e-08	2.439939939939939961e+00 5.689867668818785872e-04 7.734305747818162564e-08
2.444944944944944965e+00 2.456475784733352583e-03 8.127581048049394971e-08	2.444944944944944965e+00 5.596143983539550188e-04 7.437300470977372144e-08
2.449949949949949968e+00 2.392711424553082417e-03 7.652806160014303132e-08	2.449949949949949968e+00 5.504996302112941499e-04 7.154158913279863048e-08
2.454954954954954971e+00 2.331645208877299383e-03 7.210679286916270039e-08	2.454954954954954971e+00 5.416326083933564262e-04 6.884113860075625020e-08
2.459959959959959974e+00 2.273122491980645709e-03 6.798607026443135114e-08	2.459959959959959974e+00 5.330039590896968682e-04 6.626447370882954168e-08
2.464964964964964977e+00 2.216999677485856791e-03 6.414230132897229674e-08	2.464964964964964977e+00 5.246047604190452436e-04 6.380487171844037881e-08
2.469969969969969981e+00 2.163143279475500651e-03 6.055399814969137498e-08	2.469969969969969981e+00 5.164265160619349983e-04 6.145603344803171656e-08
2.474974974974974984e+00 2.111429075618688565e-03 5.720156691980115625e-08	2.474974974974974984e+00 5.084611306929870140e-04 5.921205285956569087e-08
2.479979979979979987e+00 2.061741342134949893e-03 5.406712081484605480e-08	2.479979979979979987e+00 5.007008870725730308e-04 5.706738909731193501e-08
2.484984984984984990e+00 2.013972161667502894e-03 5.113431334900359109e-08	2.484984984984984990e+00 4.931384246698364672e-04 5.501684075962189089e-08
2.489989989989989994e+00 1.968020796220024387e-03 4.838818975286451622e-08	2.489989989989989994e+00 4.857667197001240924e-04 5.305552220591074015e-08
2.494994994994994997e+00 1.923793118249070939e-03 4.581505423496402886e-08	2.494994994994994997e+00 4.785790664699280587e-04 5.117884172030121126e-08
2.500000000000000000e+00 1.881201093819233295e-03 4.340235126513624461e-08	2.500000000000000000e+00 4.715690599314705097e-04 4.938248137056928737e-08
