2.289789789789789864e+00 7.428912451222704355e-03 2.773262769783434886e-07	2.289789789789789864e+00 1.051704655549513204e-03 3.081728554033762730e-07
2.294794794794794868e+00 7.087481056920492267e-03 2.500890037689092667e-07	2.294794794794794868e+00 1.025480622354725318e-03 2.918407338535746457e-07
2.299799799799799871e+00 6.770878509529934877e-03 2.259710756832461961e-07	2.299799799799799871e+00 1.000340232464175033e-03 2.765789375902046309e-07
2.304804804804804874e+00 6.476698536511284535e-03 2.045633797541042497e-07	2.304804804804804874e+00 9.762216118711032533e-04 2.623034223676924878e-07
2.309809809809809877e+00 6.202822158318546837e-03 1.855172978735973281e-07	2.309809809809809877e+00 9.530673605290113093e-04 2.489378480592655519e-07
2.314814814814814881e+00 5.947377314889273729e-03 1.685347555208467843e-07	2.314814814814814881e+00 9.308241630606033405e-04 2.364127714143653718e-07
2.319819819819819884e+00 5.708704973532748549e-03 1.533600708563898628e-07	2.319819819819819884e+00 9.094424388814195941e-04 2.246649338645513113e-07
2.324824824824824887e+00 5.485330554495551972e-03 1.397732494342530069e-07	2.324824824824824887e+00 8.888760272040643375e-04 2.136366319750694225e-07
2.329829829829829890e+00 5.275939740513544036e-03 1.275844452773078525e-07	2.329829829829829890e+00 8.690819029710886981e-04 2.032751599125473655e-07
2.334834834834834894e+00 5.079357917238644902e-03 1.166293673294064011e-07	2.334834834834834894e+00 8.500199202644579885e-04 1.935323147973788068e-07
2.339839839839839897e+00 4.894532634007526216e-03 1.067654555274507907e-07	2.339839839839839897e+00 8.316525801698285191e-04 1.843639570783085386e-07
2.344844844844844900e+00 4.720518587613329459e-03 9.786868603720499601e-08	2.344844844844844900e+00 8.139448204450149167e-04 1.757296191441871035e-07
2.349849849849849903e+00 4.556464722079347357e-03 8.983089289170200809e-08	2.349849849849849903e+00 7.968638246630004073e-04 1.675921563050305862e-07
2.354854854854854906e+00 4.401603109892765486e-03 8.255751510752879919e-08	2.354854854854854906e+00 7.803788487779820095e-04 1.599174350570472239e-07
2.359859859859859910e+00 4.255239338554047714e-03 7.596569565351368443e-08	2.359859859859859910e+00 7.644610633044903640e-04 1.526740542154850943e-07
2.364864864864864913e+00 4.116744173578871201e-03 6.998267241378425041e-08	2.364864864864864913e+00 7.490834095097749371e-04 1.458330950726825805e-07
2.369869869869869916e+00 3.985546307539738868e-03 6.454441229185320687e-08	2.369869869869869916e+00 7.342204682029820819e-04 1.393678972313448724e-07
2.374874874874874919e+00 3.861126036134495450e-03 5.959444843569758960e-08	2.374874874874874919e+00 7.198483398647230989e-04 1.332538571870672205e-07
2.379879879879879923e+00 3.743009728016245645e-03 5.508288768280917177e-08	2.379879879879879923e+00 7.059445350008184024e-04 1.274682470998323450e-07
2.384884884884884926e+00 3.630764976313534224e-03 5.096556108387797718e-08	2.384884884884884926e+00 6.924878737269081919e-04 1.219900515102449932e-07
2.389889889889889929e+00 3.523996337281262107e-03 4.720329504106293368e-08	2.389889889889889929e+00 6.794583936985916029e-04 1.167998200299038588e-07
2.394894894894894932e+00 3.422341576044360401e-03 4.376128440879641258e-08	2.394894894894894932e+00 6.668372655967879292e-04 1.118795342726923414e-07
2.399899899899899935e+00 3.325468351479567933e-03 4.060855202257416192e-08	2.399899899899899935e+00 6.546067154617744204e-04 1.072124875000678179e-07
2.404904904904904939e+00 3.233071282369353715e-03 3.771748167927429083e-08	2.404904904904904939e+00 6.427499532433317850e-04 1.027831756330393648e-07
2.409909909909909942e+00 3.144869345412001742e-03 3.506341369833895075e-08	2.409909909909909942e+00 6.312511069998294521e-04 9.857719844015990354e-08
2.414914914914914945e+00 3.060603562771946080e-03 3.262429393204514325e-08	2.414914914914914945e+00 6.200951622370500524e-04 9.458116984771135046e-08
2.419919919919919948e+00 2.980034942837720986e-03 3.038036853329645296e-08	2.419919919919919948e+00 6.092679059289406217e-04 9.078263643799381796e-08
2.424924924924924952e+00 2.902942642912019998e-03 2.831391798568140264e-08	2.424924924924924952e+00 5.987558748081650041e-04 8.717000330658885929e-08
2.429929929929929955e+00 2.829122326844616796e-03 2.640902489705006691e-08	2.429929929929929955e+00 5.885463075549767246e-04 8.373246654159181556e-08
2.434934934934934958e+00 2.758384694261554072e-03 2.465137089019348693e-08	2.434934934934934958e+00 5.786271005491305059e-04 8.045995166880187734e-08
2.439939939939939961e+00 2.690554161148114767e-03 2.302805862125121453e-08	2.439939939939939961e+00 5.689867668818785872e-04 7.734305747818162564e-08
2.444944944944944965e+00 2.625467674194732412e-03 2.152745554169976228e-08	2.444944944944944965e+00 5.596143983539550188e-04 7.437300470977372144e-08
2.449949949949949968e+00 2.562973643585909032e-03 2.013905651234615274e-08	2.449949949949949968e+00 5.504996302112941499e-04 7.154158913279863048e-08
2.454954954954954971e+00 2.502930980861603309e-03 1.885336279332599247e-08	2.454954954954954971e+00 5.416326083933564262e-04 6.884113860075625020e-08
2.459959959959959974e+00 2.445208230157984615e-03 1.766177528554435285e-08	2.459959959959959974e+00 5.330039590896968682e-04 6.626447370882954168e-08
2.464964964964964977e+00 2.389682782580785508e-03 1.655650019686221951e-08	2.464964964964964977e+00 5.246047604190452436e-04 6.380487171844037881e-08
2.469969969969969981e+00 2.336240164714869193e-03 1.553046555935536585e-08	2.469969969969969981e+00 5.164265160619349983e-04 6.145603344803171656e-08
2.474974974974974984e+00 2.284773393356094150e-03 1.457724723935007013e-08	2.474974974974974984e+00 5.084611306929870140e-04 5.921205285956569087e-08
2.479979979979979987e+00 2.235182389491516784e-03 1.369100326567091538e-08	2.479979979979979987e+00 5.007008870725730308e-04 5.706738909731193501e-08
2.484984984984984990e+00 2.187373445370946121e-03 1.286641545856976993e-08	2.484984984984984990e+00 4.931384246698364672e-04 5.501684075962189089e-08
2.489989989989989994e+00 2.141258739224984661e-03 1.209863747629760105e-08	2.489989989989989994e+00 4.857667197001240924e-04 5.305552220591074015e-08
2.494994994994994997e+00 2.096755892806220940e-03 1.138324851168116657e-08	2.494994994994994997e+00 4.785790664699280587e-04 5.117884172030121126e-08
2.500000000000000000e+00 2.053787567473873941e-03 1.071621197027221691e-08	2.500000000000000000e+00 4.715690599314705097e-04 4.938248137056928737e-08
