2.289789789789789864e+00 1.828067438038705168e-05 3.582407893165430467e-13	2.289789789789789864e+00 1.051704655549513204e-03 3.081728554033762730e-07
2.294794794794794868e+00 1.824321979948061964e-05 3.520598918173609144e-13	2.294794794794794868e+00 1.025480622354725318e-03 2.918407338535746457e-07
2.299799799799799871e+00 1.820709420335677193e-05 3.461072423406588718e-13	2.299799799799799871e+00 1.000340232464175033e-03 2.765789375902046309e-07
2.304804804804804874e+00 1.817224299497038906e-05 3.403709613853177234e-13	2.304804804804804874e+00 9.762216118711032533e-04 2.623034223676924878e-07
2.309809809809809877e+00 1.813861471018721341e-05 3.348399669113156786e-13	2.309809809809809877e+00 9.530673605290113093e-04 2.489378480592655519e-07
2.314814814814814881e+00 1.810616079168738093e-05 3.295039091787147910e-13	2.314814814814814881e+00 9.308241630606033405e-04 2.364127714143653718e-07
2.319819819819819884e+00 1.807483538245056558e-05 3.243531118327861474e-13	2.319819819819819884e+00 9.094424388814195941e-04 2.246649338645513113e-07
2.324824824824824887e+00 1.804459513685314443e-05 3.193785185508625294e-13	2.324824824824824887e+00 8.888760272040643375e-04 2.136366319750694225e-07
2.329829829829829890e+00 1.801539904763268529e-05 3.145716446506210953e-13	2.329829829829829890e+00 8.690819029710886981e-04 2.032751599125473655e-07
2.334834834834834894e+00 1.798720828717093677e-05 3.099245331321400749e-13	2.334834834834834894e+00 8.500199202644579885e-04 1.935323147973788068e-07
2.339839839839839897e+00 1.795998606171833660e-05 3.054297146890541534e-13	2.339839839839839897e+00 8.316525801698285191e-04 1.843639570783085386e-07
2.344844844844844900e+00 1.793369747733317192e-05 3.010801712787660170e-13	2.344844844844844900e+00 8.139448204450149167e-04 1.757296191441871035e-07
2.349849849849849903e+00 1.790830941644069301e-05 2.968693028892122046e-13	2.349849849849849903e+00 7.968638246630004073e-04 1.675921563050305862e-07
2.354854854854854906e+00 1.788379042403382348e-05 2.927908971811455024e-13	2.354854854854854906e+00 7.803788487779820095e-04 1.599174350570472239e-07
2.359859859859859910e+00 1.786011060263911985e-05 2.888391017210829993e-13	2.359859859859859910e+00 7.644610633044903640e-04 1.526740542154850943e-07
2.364864864864864913e+00 1.783724151526260140e-05 2.850083985517704262e-13	2.364864864864864913e+00 7.490834095097749371e-04 1.458330950726825805e-07
2.369869869869869916e+00 1.781515609560972629e-05 2.812935808747944318e-13	2.369869869869869916e+00 7.342204682029820819e-04 1.393678972313448724e-07
2.374874874874874919e+00 1.779382856494496739e-05 2.776897316443876371e-13	2.374874874874874919e+00 7.198483398647230989e-04 1.332538571870672205e-07
2.379879879879879923e+00 1.777323435501915961e-05 2.741922038929566975e-13	2.379879879879879923e+00 7.059445350008184024e-04 1.274682470998323450e-07
2.384884884884884926e+00 1.775335003654903294e-05 2.707966026278043977e-13	2.384884884884884926e+00 6.924878737269081919e-04 1.219900515102449932e-07
2.389889889889889929e+00 1.773415325278307667e-05 2.674987681552436770e-13	2.389889889889889929e+00 6.794583936985916029e-04 1.167998200299038588e-07
2.394894894894894932e+00 1.771562265773228177e-05 2.642947607031006217e-13	2.394894894894894932e+00 6.668372655967879292e-04 1.118795342726923414e-07
2.399899899899899935e+00 1.769773785868419667e-05 2.611808462257079386e-13	2.399899899899899935e+00 6.546067154617744204e-04 1.072124875000678179e-07
2.404904904904904939e+00 1.768047936265415831e-05 2.581534832871373429e-13	2.404904904904904939e+00 6.427499532433317850e-04 1.027831756330393648e-07
2.409909909909909942e+00 1.766382852645936429e-05 2.552093109287377987e-13	2.409909909909909942e+00 6.312511069998294521e-04 9.857719844015990354e-08
2.414914914914914945e+00 1.764776751013024479e-05 2.523451374362785174e-13	2.414914914914914945e+00 6.200951622370500524e-04 9.458116984771135046e-08
2.419919919919919948e+00 1.763227923339886791e-05 2.495579299301683216e-13	2.419919919919919948e+00 6.092679059289406217e-04 9.078263643799381796e-08
2.424924924924924952e+00 1.761734733502754821e-05 2.468448047095724374e-13	2.424924924924924952e+00 5.987558748081650041e-04 8.717000330658885929e-08
2.429929929929929955e+00 1.760295613476148873e-05 2.442030182877799003e-13	2.429929929929929955e+00 5.885463075549767246e-04 8.373246654159181556e-08
2.434934934934934958e+00 1.758909059770786073e-05 2.416299590620273276e-13	2.434934934934934958e+00 5.786271005491305059e-04 8.045995166880187734e-08
2.439939939939939961e+00 1.757573630096101149e-05 2.391231395662655538e-13	2.439939939939939961e+00 5.689867668818785872e-04 7.734305747818162564e-08
2.444944944944944965e+00 1.756287940230842550e-05 2.366801892600243743e-13	2.444944944944944965e+00 5.596143983539550188e-04 7.437300470977372144e-08
2.449949949949949968e+00 1.755050661086623347e-05 2.342988478108062917e-13	2.449949949949949968e+00 5.504996302112941499e-04 7.154158913279863048e-08
2.454954954954954971e+00 1.753860515950528466e-05 2.319769588312273978e-13	2.454954954954954971e+00 5.416326083933564262e-04 6.884113860075625020e-08
2.459959959959959974e+00 1.752716277894050722e-05 2.297124640355533156e-13	2.459959959959959974e+00 5.330039590896968682e-04 6.626447370882954168e-08
2.464964964964964977e+00 1.751616767336641888e-05 2.275033977833922216e-13	2.464964964964964977e+00 5.246047604190452436e-04 6.380487171844037881e-08
2.469969969969969981e+00 1.750560849753106548e-05 2.253478819810759051e-13	2.469969969969969981e+00 5.164265160619349983e-04 6.145603344803171656e-08
2.474974974974974984e+00 1.749547433514930502e-05 2.232441213138041475e-13	2.474974974974974984e+00 5.084611306929870140e-04 5.921205285956569087e-08
2.479979979979979987e+00 1.748575467856407616e-05 2.211903987839023463e-13	2.479979979979979987e+00 5.007008870725730308e-04 5.706738909731193501e-08
2.484984984984984990e+00 1.747643940957137475e-05 2.191850715326159955e-13	2.484984984984984990e+00 4.931384246698364672e-04 5.501684075962189089e-08
2.489989989989989994e+00 1.746751878133132656e-05 2.172265669247411476e-13	2.489989989989989994e+00 4.857667197001240924e-04 5.305552220591074015e-08
2.494994994994994997e+00 1.745898340129328714e-05 2.153133788770932467e-13	2.494994994994994997e+00 4.785790664699280587e-04 5.117884172030121126e-08
2.500000000000000000e+00 1.745082421506882579e-05 2.134440644133637178e-13	2.500000000000000000e+00 4.715690599314705097e-04 4.938248137056928737e-08
